hotel_name,hotel_slug,check_in_date,check_out_date,nights,guests,rooms,day_offset,availability,total_price,original_price,price_per_night,has_discount,discount_percentage,rating_score,review_count,total_room_types,available_room_types,sold_out_room_types,property_occupancy_rate,min_room_price,max_room_price,avg_room_price,room_names,scrape_timestamp
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-21,2025-11-23,2,2,1,0,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-21T16:30:58.784853
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-22,2025-11-24,2,2,1,1,available,90531.0,,45265.5,False,,,,1,1,0,0.0,90531.0,90531.0,90531.0,Three-Bedroom Villa,2025-11-21T16:31:08.868979
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-23,2025-11-25,2,2,1,2,available,80472.0,100590.0,40236.0,True,20.0,,,1,1,0,0.0,80472.0,80472.0,80472.0,Three-Bedroom Villa,2025-11-21T16:31:19.027554
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-24,2025-11-26,2,2,1,3,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-21T16:31:29.390342
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-25,2025-11-27,2,2,1,4,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-21T16:31:39.929048
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-26,2025-11-28,2,2,1,5,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-21T16:31:50.637822
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-27,2025-11-29,2,2,1,6,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-21T16:32:01.017424
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-28,2025-11-30,2,2,1,7,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-21T16:32:11.274407
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-29,2025-12-01,2,2,1,8,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-21T16:32:21.776825
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-30,2025-12-02,2,2,1,9,available,,,,False,,,,0,0,0,,,,,,2025-11-21T16:32:29.852431
